Datacube Filename,Object,RA,DEC,DATE OBS,DP.ID,EXPTIME [s],INS MODE,DIMM Seeing-avg,Airmass,Wavelength,R (&lambda;/&delta;&lambda;)
S.MUSE.2021-07-24T04:17:28.933.fits,GAMAJ144834.52+025628.8,222.143498,2.94128,2021-07-08 02:08:01,MUSE.2021-07-08T02:08:01.013,1320.0,WFM-AO-N,1.04 [0.13],1.25,469.959..934.959,3013.92553710938
S.MUSE.2021-07-26T19:09:53.676.fits,GAMAJ144834.52+025628.8,222.143777,2.94197,2021-07-09 01:49:51,MUSE.2021-07-09T01:49:51.513,1320.0,WFM-AO-N,0.37 [0.03],1.22,469.959..934.959,3013.92407226562
S.MUSE.2021-09-23T22:45:31.243.fits,J0158-006,29.539294,-0.10905,2021-09-07 09:35:39,MUSE.2021-09-07T09:35:39.833,500.0,WFM-NOAO-E,0.85 [0.05],1.27,460.029..935.029,2989.10375976562
S.MUSE.2021-09-23T23:35:05.796.fits,PKS2134+004,324.162089,0.6994,2021-09-03 00:57:35,MUSE.2021-09-03T00:57:35.589,900.0,WFM-AO-N,0.54 [0.05],1.41,469.988..934.988,3014.06884765625
S.MUSE.2021-10-19T03:31:19.426.fits,MUSCATEL-A2744-MF2-02-B,3.464638,-30.37093,2021-10-06 04:44:07,MUSE.2021-10-06T04:44:07.555,1500.0,WFM-AO-N,0.43 [0.04],1.02,469.983..934.983,3014.0439453125
S.MUSE.2021-10-22T15:14:33.886.fits,MUSCATEL-AS1063-MF4-02-B,342.312362,-44.55075,2021-10-11 03:42:06,MUSE.2021-10-11T03:42:06.832,1500.0,WFM-AO-N,1.09 [0.11],1.12,469.968..934.968,3013.96997070312
S.MUSE.2022-01-05T12:52:57.730.fits,Pisces B,19.79855,11.11943,2021-12-09 00:50:37,MUSE.2021-12-09T00:50:37.349,450.0,WFM-AO-E,1.21 [0.09],1.23,459.962..934.962,2988.76220703125
S.MUSE.2022-03-02T10:16:11.633.fits,MATLAS-585,146.457861,-0.54417,2022-02-12 07:55:40,MUSE.2022-02-12T07:55:40.749,657.0,WFM-NOAO-N,2.38 [0.40],1.52,475.005..935.005,3026.74072265625
S.MUSE.2022-04-05T20:25:43.286.fits,IC 486,120.087731,26.61365,2022-03-09 00:54:41,MUSE.2022-03-09T00:54:41.086,630.0,WFM-NOAO-N,0.63 [0.05],1.63,474.963..934.963,3026.529296875
S.MUSE.2022-04-15T20:02:16.803.fits,SDSSJ1439m0033,219.969169,-0.57189,2022-03-13 09:12:24,MUSE.2022-03-13T09:12:24.083,586.0,WFM-NOAO-N,1.43 [0.13],1.15,475.033..935.158,3027.1962890625
S.MUSE.2022-04-29T15:02:50.123.fits,GAMAJ144010.58-003923.8,220.043554,-0.65748,2022-04-05 07:02:12,MUSE.2022-04-05T07:02:12.820,1320.0,WFM-AO-N,0.56 [0.05],1.1,470.018..935.018,3014.21850585938
S.MUSE.2022-06-18T09:53:28.460.fits,NGC 247 ULX,11.765886,-20.7959,2022-05-27 09:53:32,MUSE.2022-05-27T09:53:32.381,560.0,WFM-NOAO-E,0.83 [0.19],1.42,460.036..935.161,2989.4521484375
S.MUSE.2022-07-14T15:26:29.810.fits,J0141-5427,25.385954,-54.4633,2022-06-24 09:12:43,MUSE.2022-06-24T09:12:43.926,1480.0,WFM-NOAO-N,1.03 [0.15],1.41,475.024..935.024,3026.83544921875
S.MUSE.2022-08-10T13:00:04.310.fits,J0141-5427,25.385,-54.46386,2022-07-23 08:58:30,MUSE.2022-07-23T08:58:30.223,1480.0,WFM-NOAO-N,1.46 [0.27],1.2,475.018..935.018,3026.80859375
S.MUSE.2022-08-12T13:44:18.336.fits,FRB190608,334.018731,-7.89888,2022-07-29 04:30:17,MUSE.2022-07-29T04:30:17.896,600.0,WFM-AO-N,0.79 [0.08],1.2,470.020..935.020,3014.23046875
S.MUSE.2022-09-01T00:07:21.610.fits,WISE2246-0526,341.53164,-5.44304,2022-08-04 06:15:21,MUSE.2022-08-04T06:15:21.417,675.0,WFM-AO-N,1.17 [0.20],1.06,470.022..935.022,3014.23828125
S.MUSE.2022-09-04T08:41:24.343.fits,W2246-0526,341.53164,-5.4429,2022-08-22 07:36:32,MUSE.2022-08-22T07:36:32.766,675.0,WFM-AO-N,1.53 [0.09],1.25,470.009..935.009,3014.173828125
S.MUSE.2022-10-18T12:40:51.866.fits,ZTF22aaylnhq,263.935684,4.83226,2022-09-30 00:35:29,MUSE.2022-09-30T00:35:29.039,900.0,WFM-AO-N,0.65 [0.10],1.59,469.960..934.960,3013.9287109375
